customerID,firstName,lastName,phoneNumber,email,loyaltyPoints
1,Linda,Ruiz,264-707-1888,lindaruiz@gmail.com,34
2,Kevin,Moore,376-836-1580,kevinmoore@gmail.com,268
3,Amanda,Lopez,255-768-1445,amandalopez@gmail.com,466
4,Nancy,Wright,215-368-4189,nancywright@gmail.com,140
5,Donald,Ruiz,376-865-1100,donaldruiz@gmail.com,412
6,Jennifer,Gray,594-497-0827,jennifergray@gmail.com,414
7,Debra,Green,518-213-7206,debragreen@gmail.com,332
8,Pamela,Howard,659-956-9794,pamelahoward@gmail.com,307
9,Barbara,Gonzales,246-800-0609,barbaragonzales@gmail.com,269
10,Maria,King,591-778-8968,mariaking@gmail.com,116
11,Janet,Garcia,829-887-7235,janetgarcia@gmail.com,150
12,Jonathan,Torres,711-218-1199,jonathantorres@gmail.com,418
13,Tyler,Chavez,636-980-9705,tylerchavez@gmail.com,489
14,Brenda,Peterson,625-360-4977,brendapeterson@gmail.com,295
15,Dorothy,Perez,951-252-8926,dorothyperez@gmail.com,356
16,Kathleen,Davis,529-514-0871,kathleendavis@gmail.com,11
17,Sandra,Ward,781-571-8942,sandraward@gmail.com,230
18,Alexander,Evans,422-859-0486,alexanderevans@gmail.com,48
19,Deborah,Davis,875-450-0560,deborahdavis@gmail.com,158
20,Gary,Johnson,632-518-5785,garyjohnson@gmail.com,395
21,Richard,Campbell,932-381-4708,richardcampbell@gmail.com,57
22,Timothy,Walker,956-726-2295,timothywalker@gmail.com,344
23,Ryan,Jones,366-998-1675,ryanjones@gmail.com,390
24,Samuel,Torres,948-787-4454,samueltorres@gmail.com,18
25,Nicole,Richardson,896-761-3891,nicolerichardson@gmail.com,376
26,Tyler,Johnson,642-333-2664,tylerjohnson@gmail.com,192
27,Pamela,Nguyen,964-210-5038,pamelanguyen@gmail.com,334
28,Jennifer,Flores,745-900-4007,jenniferflores@gmail.com,446
29,Emily,Morales,496-839-9118,emilymorales@gmail.com,12
30,Eric,Davis,567-209-6385,ericdavis@gmail.com,294
31,William,Jackson,546-785-9172,williamjackson@gmail.com,404
32,Jack,Lee,331-572-0310,jacklee@gmail.com,430
33,Amy,Gupta,803-647-4464,amygupta@gmail.com,181
34,Rachel,Roberts,416-753-8029,rachelroberts@gmail.com,484
35,Donald,Harris,936-995-7206,donaldharris@gmail.com,141
36,Frank,Edwards,578-230-8312,frankedwards@gmail.com,298
37,Stephanie,Reyes,988-456-5153,stephaniereyes@gmail.com,104
38,Heather,Cook,486-427-3309,heathercook@gmail.com,108
39,Aniket,Smith,260-745-5922,aniketsmith@gmail.com,4
40,Sandra,Ramos,385-944-9474,sandraramos@gmail.com,157
41,Brenda,Ortiz,548-287-8891,brendaortiz@gmail.com,387
42,Karen,Brown,649-422-1306,karenbrown@gmail.com,137
43,Margaret,Robinson,984-235-3794,margaretrobinson@gmail.com,122
44,Richard,Rogers,598-674-8622,richardrogers@gmail.com,431
45,Anthony,Gupta,778-757-1313,anthonygupta@gmail.com,383
46,Betty,Cruz,749-883-4120,bettycruz@gmail.com,17
47,Alexander,Torres,230-535-3990,alexandertorres@gmail.com,418
48,Nicole,Gomez,216-255-6693,nicolegomez@gmail.com,181
49,Mary,Torres,646-729-2509,marytorres@gmail.com,60
50,Eric,Lee,661-395-6225,ericlee@gmail.com,211
51,Jack,Murphy,616-380-4868,jackmurphy@gmail.com,405
52,Jack,Evans,253-322-8083,jackevans@gmail.com,245
53,Pamela,Price,800-433-6250,pamelaprice@gmail.com,29
54,Anthony,Watson,674-276-7135,anthonywatson@gmail.com,241
55,Larry,Morales,870-374-9660,larrymorales@gmail.com,286
56,Pamela,Wilson,398-442-8613,pamelawilson@gmail.com,369
57,Stephanie,Parker,387-737-0731,stephanieparker@gmail.com,333
58,Edward,Jackson,489-959-1934,edwardjackson@gmail.com,481
59,Edward,Howard,517-588-6334,edwardhoward@gmail.com,498
60,Olivia,Mendoza,243-578-7572,oliviamendoza@gmail.com,274
61,Julie,Green,876-521-3621,juliegreen@gmail.com,448
62,Ryan,Hernandez,498-837-6679,ryanhernandez@gmail.com,185
63,Stephanie,Flores,251-327-6496,stephanieflores@gmail.com,418
64,Gary,Morales,510-466-4493,garymorales@gmail.com,247
65,Timothy,Kelly,708-914-2942,timothykelly@gmail.com,479
66,Donald,Baker,899-898-8627,donaldbaker@gmail.com,155
67,Nicholas,Ward,655-308-3274,nicholasward@gmail.com,259
68,Michelle,Mitchell,675-575-3402,michellemitchell@gmail.com,476
69,Olivia,Clark,419-582-0213,oliviaclark@gmail.com,150
70,Gregory,Mitchell,602-874-7677,gregorymitchell@gmail.com,273
71,Scott,Wilson,452-337-7260,scottwilson@gmail.com,500
72,Melissa,Sanders,657-209-9830,melissasanders@gmail.com,189
73,Joseph,Perez,574-875-4719,josephperez@gmail.com,130
74,Jonathan,Ross,954-591-0239,jonathanross@gmail.com,354
75,Linda,Adams,337-452-6461,lindaadams@gmail.com,378
76,Aniket,Ward,721-501-1287,aniketward@gmail.com,159
77,Donald,Davis,930-609-6758,donalddavis@gmail.com,107
78,Isha,Phillips,345-365-6143,ishaphillips@gmail.com,345
79,Jacob,Lopez,210-679-5855,jacoblopez@gmail.com,3
